ajenar	ajeno
peritar	perito
veranar	verano
resinar	resino
abastardar	abastardo
aspirar	aspiro
partir	parto
cabildear	cabildeo
subalternar	subalterno
nadar	nado
dominar	domino
inquinar	inquino
ahijar	ahíjo
saquear	saqueo
triplicar	triplico
encolar	encolo
cosquillear	cosquilleo
aprovechar	aprovecho
desmigar	desmigo
descarboxilar	descarboxilo
proseguir	prosigo
agenciar	agencio
alertar	alerto
solazar	solazo
trapalear	trapaleo
adormecer	adormezco
puentear	puenteo
implosionar	implosiono
arengar	arengo
indultar	indulto
anatematizar	anatematizo
retocar	retoco
mendigar	mendigo
cachar	cacho
defraudar	defraudo
recomer	recomo
poder	puedo
conceder	concedo
hamacar	hamaco
holgar	huelgo
afanar	afano
sacar	saco
insuflar	insuflo
saponificar	saponifico
finir	fino
endurecer	endurezco
avenar	aveno
rellenar	relleno
medicalizar	medicalizo
estrenar	estreno
tornar	torno
egresar	egreso
animalizar	animalizo
magullar	magullo
vegetar	vegeto
encajonar	encajono
descomulgar	descomulgo
poseer	poseo
empipar	empipo
reimaginar	reimagino
dippear	dippeo
alivianar	aliviano
adversar	adverso
incendiar	incendio
encallar	encallo
mercar	merco
chamuscar	chamusco
desorganizar	desorganizo
desgobernar	desgobierno
coartar	coarto
pedorrear	pedorreo
excepcionar	excepciono
rebuznar	rebuzno
hospedar	hospedo
acoger	acojo
desquitar	desquito
conchabar	conchabo
exfoliar	exfolio
tatemar	tatemo
accionar	acciono
recapitalizar	recapitalizo
depreciar	deprecio
jalonar	jalono
descogollar	descogollo
apiolar	apiolo
resistir	resisto
choricear	choriceo
defoliar	defolio
confitar	confito
llavear	llaveo
manufacturar	manufacturo
flotar	floto
retozar	retozo
desenfocar	desenfoco
menoscabar	menoscabo
repercutir	repercuto
mirar	miro
textear	texteo
anatemizar	anatemizo
enfadar	enfado
desandar	desando
cuadriplicar	cuadriplico
embaucar	embauco
ofender	ofendo
demandar	demando
capolar	capolo
hacendar	haciendo
realzar	realzo
despabilar	despabilo
infernalizar	infernalizo
apretar	aprieto
arruinar	arruino
relamer	relamo
maximizar	maximizo
desternillar	desternillo
ayunar	ayuno
cambiar	cambio
engrandecer	engrandezco
damnificar	damnifico
fildear	fildeo
desparecer	desparezco
persistir	persisto
pestañar	pestaño
beber	bebo
columpiar	columpio
distorsionar	distorsiono
engarzar	engarzo
recauchutar	recauchuto
estandardizar	estandardizo
participar	participo
acicatear	acicateo
sobreexponer	sobreexpongo
amagar	amago
pallar	pallo
disgregar	disgrego
apostar	apuesto
embarrilar	embarrilo
embullar	embullo
recelar	recelo
alargar	alargo
anhelar	anhelo
abatir	abato
tronar	trueno
polarizar	polarizo
papar	papo
remarcar	remarco
exterminar	extermino
fungir	funjo
tropezar	tropiezo
descrismar	descrismo
destrozar	destrozo
exir	exo
mordisquear	mordisqueo
radicar	radico
frustrar	frustro
germinar	germino
ocultar	oculto
parpadear	parpadeo
llamar	llamo
infundir	infundo
espabilar	espabilo
violentar	violento
preciar	precio
hermanar	hermano
lonjear	lonjeo
trancar	tranco
esperar	espero
estatizar	estatizo
siluetear	silueteo
saborear	saboreo
alcanforar	alcanforo
escarnecer	escarnezco
estabilizar	estabilizo
antiguar	antiguo
lucrar	lucro
flambear	flambeo
recentralizar	recentralizo
demarcar	demarco
abarbetar	abarbeto
derrengar	derrengo
arruar	arrúo
frangir	franjo
ironizar	ironizo
humar	humo
gestionar	gestiono
sufragar	sufrago
acristalar	acristalo
aferrar	aferro
desenjabonar	desenjabono
deludir	deludo
exculpar	exculpo
calibrar	calibro
sincerar	sincero
copresidir	copresido
sentar	siento
demonizar	demonizo
relievar	relievo
pichar	picho
falsificar	falsifico
salpullir	salpullo
desahogar	desahogo
versar	verso
victimizar	victimizo
atrapar	atrapo
potencializar	potencializo
vaporar	vaporo
escaecer	escaezco
reflotar	refloto
follar	follo
desintoxicar	desintoxico
mandonear	mandoneo
liberar	libero
achocolatar	achocolato
regresar	regreso
recoser	recoso
ganar	gano
embuchar	embucho
ruar	rúo
congratular	congratulo
entender	entiendo
entintar	entinto
apelar	apelo
dejar	dejo
angular	angulo
gruñir	gruño
prefigurar	prefiguro
lustrar	lustro
crotorar	crotoro
amparar	amparo
reclinar	reclino
marear	mareo
autoimponer	autoimpongo
frotar	froto
necesitar	necesito
enhilar	enhilo
conceptuar	conceptúo
abobar	abobo
arrumbar	arrumbo
gambetear	gambeteo
merendar	meriendo
deprimir	deprimo
desvalijar	desvalijo
aduanar	aduano
perseverar	persevero
despiojar	despiojo
carecer	carezco
anochecer	anochezco
crucificar	crucifico
desojar	desojo
trasbordar	trasbordo
temer	temo
increpar	increpo
rumbar	rumbo
serenar	sereno
carnavalear	carnavaleo
rehuir	rehúyo
calentar	caliento
eclipsar	eclipso
puar	púo
allegar	allego
redecorar	redecoro
decretar	decreto
relumbrar	relumbro
sesear	seseo
conceptualizar	conceptualizo
dinamitar	dinamito
postensar	postenso
emitir	emito
enjaezar	enjaezo
abrillantar	abrillanto
derretir	derrito
devastar	devasto
recamar	recamo
aparejar	aparejo
aparcar	aparco
ladear	ladeo
arraigar	arraigo
discutir	discuto
abarcar	abarco
privilegiar	privilegio
desembalsar	desembalso
forcejear	forcejeo
desconcertar	desconcierto
cautelar	cautelo
romanzar	romanzo
computarizar	computarizo
escotar	escoto
desazonar	desazono
crujir	crujo
cuerpear	cuerpeo
abochornar	abochorno
argüendear	argüendeo
desfajar	desfajo
leudar	leudo
reconvertir	reconvierto
desosegar	desosiego
deambular	deambulo
interaccionar	interacciono
bloguear	blogueo
pringar	pringo
deparar	deparo
rapar	rapo
desplumar	desplumo
suscitar	suscito
desenvolver	desenvuelvo
autoabastecer	autoabastezco
avisar	aviso
empachar	empacho
conmutar	conmuto
desmejorar	desmejoro
apellidar	apellido
atinar	atino
desestacionalizar	desestacionalizo
ejemplarizar	ejemplarizo
destripar	destripo
circundar	circundo
fraccionar	fracciono
implementar	implemento
reedificar	reedifico
ajar	ajo
cobijar	cobijo
agujerar	agujero
atornillar	atornillo
viajar	viajo
desconfiar	desconfío
embargar	embargo
diafragmar	diafragmo
almagrar	almagro
desembalar	desembalo
reestrenar	reestreno
celestinear	celestineo
apuntar	apunto
cabrahigar	cabrahígo
pluralizar	pluralizo
engolar	engolo
extrapolar	extrapolo
caber	quepo
oprimir	oprimo
desforzar	desfuerzo
vacar	vaco
fiar	fío
desintegrar	desintegro
interdecir	interdigo
capitanear	capitaneo
malcriar	malcrío
amerizar	amerizo
concadenar	concadeno
regularizar	regularizo
terciar	tercio
acuñar	acuño
temblar	tiemblo
relegar	relego
dedicar	dedico
vinagrar	vinagro
encorsetar	encorseto
corretear	correteo
amarillecer	amarillezco
ablacionar	ablaciono
plisar	pliso
evanescer	evanesco
orbitar	orbito
reenganchar	reengancho
modular	modulo
reprimir	reprimo
desdramatizar	desdramatizo
estandarizar	estandarizo
comiscar	comisco
colorear	coloreo
videograbar	videograbo
enhestar	enhiesto
trucar	truco
demoler	demuelo
chochear	chocheo
guarachear	guaracheo
trastear	trasteo
desmilitarizar	desmilitarizo
deshonrar	deshonro
energizar	energizo
procrastinar	procrastino
apercibir	apercibo
fumblear	fumbleo
proletarizar	proletarizo
asignar	asigno
instrumentalizar	instrumentalizo
impregnar	impregno
desacertar	desacierto
neutralizar	neutralizo
pender	pendo
carbonizar	carbonizo
quejar	quejo
preocupar	preocupo
estampillar	estampillo
recabar	recabo
acompañar	acompaño
allanar	allano
descastar	descasto
ilustrar	ilustro
hipotecar	hipoteco
secuestrar	secuestro
brindar	brindo
narrar	narro
desenfundar	desenfundo
deformar	deformo
castañear	castañeo
reputar	reputo
vampirizar	vampirizo
estremecer	estremezco
latigar	latigo
despaturrar	despaturro
gerenciar	gerencio
abalanzar	abalanzo
ventear	venteo
birlar	birlo
recomendar	recomiendo
apuntillar	apuntillo
sobreproteger	sobreprotejo
jarrar	jarro
empalagar	empalago
modorrar	modorro
sarpullir	sarpullo
vislumbrar	vislumbro
sintetizar	sintetizo
perecear	pereceo
zabullir	zabullo
habituar	habitúo
subseguir	subsigo
apacentar	apaciento
lañar	laño
propiciar	propicio
boicotear	boicoteo
tocar	toco
causar	causo
imitar	imito
sobrentender	sobrentiendo
pautar	pauto
refunfuñar	refunfuño
hundir	hundo
acechar	acecho
desmoralizar	desmoralizo
diplomar	diplomo
apandar	apando
concretizar	concretizo
arrinconar	arrincono
tironear	tironeo
llenar	lleno
convivir	convivo
extender	extiendo
desviar	desvío
denominar	denomino
contar	cuento
coaligar	coaligo
revocar	revoco
encargar	encargo
descaminar	descamino
driblear	dribleo
peregrinar	peregrino
embromar	embromo
percutir	percuto
achuchar	achucho
silabear	silabeo
copular	copulo
despavorir	despavoro
mandar	mando
franquear	franqueo
reutilizar	reutilizo
blocar	bloco
desmirlar	desmirlo
adinerar	adinero
acostar	acuesto
enlazar	enlazo
desratizar	desratizo
acampanar	acampano
ovillar	ovillo
añadir	añado
desembrujar	desembrujo
desobedecer	desobedezco
contagiar	contagio
pintar	pinto
cuadrillar	cuadrillo
regocijar	regocijo
matizar	matizo
carear	careo
tarifar	tarifo
enconchar	enconcho
enchuflar	enchuflo
telar	telo
abovedar	abovedo
chasquear	chasqueo
enrocar	enroco
cultivar	cultivo
tambalear	tambaleo
invaginar	invagino
traspirar	traspiro
agazapar	agazapo
charlotear	charloteo
arroyar	arroyo
suspirar	suspiro
emunger	emunjo
rescindir	rescindo
trasudar	trasudo
enmascarar	enmascaro
erupcionar	erupciono
compilar	compilo
reescribir	reescribo
fracasar	fracaso
aforar	aforo
recusar	recuso
reinfundir	reinfundo
rasguear	rasgueo
descoyuntar	descoyunto
disociar	disocio
esnifar	esnifo
agonizar	agonizo
practicar	practico
liquenizar	liquenizo
igualar	igualo
opositar	oposito
enclaustrar	enclaustro
radiografiar	radiografío
verificar	verifico
rociar	rocío
equilibrar	equilibro
autografiar	autografío
desprestigiar	desprestigio
insistir	insisto
monopolizar	monopolizo
batir	bato
atascar	atasco
matematizar	matematizo
promocionar	promociono
encamisar	encamiso
cicatrizar	cicatrizo
golosear	goloseo
abejorrear	abejorreo
cauterizar	cauterizo
disparatar	disparato
doctrinar	doctrino
zumbar	zumbo
remansar	remanso
drenar	dreno
currar	curro
apriscar	aprisco
decrepitar	decrepito
chascar	chasco
mamar	mamo
despistar	despisto
destensar	destenso
barbechar	barbecho
falcacear	falcaceo
desenamorar	desenamoro
asilar	asilo
banquetear	banqueteo
codirigir	codirijo
protocolizar	protocolizo
recalentar	recaliento
lavar	lavo
regalar	regalo
acudir	acudo
flipar	flipo
espetar	espeto
pungir	punjo
alabear	alabeo
desbrozar	desbrozo
desamparar	desamparo
despotricar	despotrico
gargarizar	gargarizo
morder	muerdo
descuidar	descuido
enterrar	entierro
encarecer	encarezco
verbalizar	verbalizo
repavimentar	repavimento
torear	toreo
desmineralizar	desmineralizo
sobrar	sobro
adjetivar	adjetivo
conexionar	conexiono
fregar	friego
refinar	refino
aumentar	aumento
coexistir	coexisto
corrugar	corrugo
matricular	matriculo
foguear	fogueo
imanar	imano
oscurecer	oscurezco
interpolar	interpolo
chamullar	chamullo
nitrificar	nitrifico
reinstalar	reinstalo
pedir	pido
largar	largo
ejemplificar	ejemplifico
ruinar	ruino
likear	likeo
encizañar	encizaño
aburrar	aburro
cafichear	caficheo
lloviznar	llovizno
coimear	coimeo
alcantarillar	alcantarillo
inteligir	intelijo
eximir	eximo
lubrificar	lubrifico
cifrar	cifro
exudar	exudo
indemnizar	indemnizo
ahorquillar	ahorquillo
orlar	orlo
forrajear	forrajeo
engrapar	engrapo
aperturar	aperturo
socializar	socializo
duplicar	duplico
arder	ardo
mejorar	mejoro
anquilosar	anquiloso
pulimentar	pulimento
aproximar	aproximo
agremiar	agremio
propalar	propalo
apechugar	apechugo
borbotar	borboto
irradiar	irradio
proporcionar	proporciono
puñar	puño
descorazonar	descorazono
promediar	promedio
autogenerar	autogenero
mulger	muljo
aludir	aludo
preceder	precedo
bordear	bordeo
chistar	chisto
flagelar	flagelo
navegar	navego
organizar	organizo
reembarcar	reembarco
condescender	condesciendo
descolgar	descuelgo
libar	libo
estimular	estimulo
desinflar	desinflo
implorar	imploro
replantear	replanteo
laudar	laudo
chutar	chuto
canonizar	canonizo
desprivatizar	desprivatizo
empantalonar	empantalono
fijar	fijo
grapar	grapo
explosionar	explosiono
estregar	estrego
desengarzar	desengarzo
forestar	foresto
menguar	menguo
arguir	arguo
venerar	venero
desmesurar	desmesuro
dibujar	dibujo
anticuar	anticúo
aromar	aromo
respaldar	respaldo
reverenciar	reverencio
recudir	recudo
abrasar	abraso
ajuarar	ajuaro
repicar	repico
apoquinar	apoquino
desafiar	desafío
baquetear	baqueteo
testear	testeo
remar	remo
entrampar	entrampo
dudar	dudo
realizar	realizo
modelizar	modelizo
embozar	embozo
priorizar	priorizo
pespuntear	pespunteo
desempeñar	desempeño
asediar	asedio
acuchillear	acuchilleo
resquebrajar	resquebrajo
divisar	diviso
nevar	nievo
adosar	adoso
ajetrear	ajetreo
desconocer	desconozco
absterger	absterjo
abonar	abono
irrigar	irrigo
casar	caso
desescombrar	desescombro
ganguear	gangueo
documentar	documento
agriar	agrío
circular	circulo
endosar	endoso
ahechar	ahecho
domeñar	domeño
bancar	banco
amenazar	amenazo
desamortizar	desamortizo
extrañar	extraño
requebrar	requiebro
desmedir	desmido
deshumanizar	deshumanizo
selfiar	selfío
alienar	alieno
conminar	conmino
rimar	rimo
empalmar	empalmo
agudizar	agudizo
sugerir	sugiero
encubertar	encuberto
cooptar	coopto
escayolar	escayolo
trabar	trabo
castrar	castro
chinchar	chincho
tremolar	tremolo
enfebrecer	enfebrezco
desecar	deseco
agorar	agüero
desatinar	desatino
barajar	barajo
vejar	vejo
yantar	yanto
suprimir	suprimo
desfondar	desfondo
solar	suelo
agujerear	agujereo
desasear	desaseo
aducir	aduzco
guglear	gugleo
enfangar	enfango
deterger	deterjo
desgastar	desgasto
desenvainar	desenvaino
reaprovisionar	reaprovisiono
historizar	historizo
acrecentar	acreciento
gratinar	gratino
pololear	pololeo
enfatizar	enfatizo
enceguecer	enceguezco
obrar	obro
enlenzar	enlienzo
piafar	piafo
sobredorar	sobredoro
simplificar	simplifico
esquinar	esquino
capear	capeo
afiliar	afilio
embijar	embijo
moquear	moqueo
polvear	polveo
desentrenar	desentreno
embarrancar	embarranco
serigrafiar	serigrafío
trascender	trasciendo
substantivar	substantivo
tejar	tejo
ustedear	ustedeo
agrandar	agrando
atemorizar	atemorizo
culear	culeo
instrumentar	instrumento
trasmitir	trasmito
deshacer	deshago
despelucar	despeluco
silabar	silabo
pronunciar	pronuncio
enharinar	enharino
reavivar	reavivo
descongelar	descongelo
conglomerar	conglomero
cenar	ceno
deslizar	deslizo
embolsar	embolso
arponar	arpono
enjalbegar	enjalbego
curiosear	curioseo
amasijar	amasijo
sintonizar	sintonizo
manejar	manejo
artillar	artillo
viborear	viboreo
articular	articulo
barbear	barbeo
esquivar	esquivo
desarticular	desarticulo
acaudillar	acaudillo
descontar	descuento
desunir	desuno
querer	quiero
desarbolar	desarbolo
contraseñar	contraseño
chalar	chalo
rebautizar	rebautizo
vadear	vadeo
desmerecer	desmerezco
emigrar	emigro
empizarrar	empizarro
cegar	ciego
enfocar	enfoco
arrebatar	arrebato
anidar	anido
posicionar	posiciono
desdorar	desdoro
destejar	destejo
compartimentar	compartimento
tripular	tripulo
mancipar	mancipo
vaguear	vagueo
creer	creo
trampear	trampeo
repelar	repelo
marchitar	marchito
subscribir	subscribo
sabotear	saboteo
jotear	joteo
reasignar	reasigno
contornar	contorno
anexar	anexo
acorchar	acorcho
iterar	itero
desencadenar	desencadeno
señorear	señoreo
magnificar	magnifico
sobrecargar	sobrecargo
acerar	acero
interpretar	interpreto
envalentonar	envalentono
exilar	exilo
inscribir	inscribo
apuñar	apuño
abordar	abordo
humear	humeo
finar	fino
profesionalizar	profesionalizo
granar	grano
cachimbear	cachimbeo
escanciar	escancio
abastecer	abastezco
sobregirar	sobregiro
babosear	baboseo
infernar	infierno
excretar	excreto
solidar	solido
achantar	achanto
bachear	bacheo
mullir	mullo
repolitizar	repolitizo
degenerar	degenero
desfasar	desfaso
transpirar	transpiro
exhortar	exhorto
aptar	apto
desganar	desgano
acojinar	acojino
latinizar	latinizo
jabonar	jabono
deshidratar	deshidrato
decodificar	decodifico
remolinar	remolino
trovar	trovo
redensificar	redensifico
recaudar	recaudo
singar	singo
verdear	verdeo
coleccionar	colecciono
transitar	transito
aboyar	aboyo
pisotear	pisoteo
dislocar	disloco
dosificar	dosifico
acaecer	acaezco
palmear	palmeo
santiguar	santiguo
pavimentar	pavimento
invernar	invierno
estuchar	estucho
perseguir	persigo
descolonizar	descolonizo
subdelegar	subdelego
reexplicar	reexplico
ñoñear	ñoñeo
coescribir	coescribo
incoar	incoo
atacar	ataco
pignorar	pignoro
precisar	preciso
quietar	quieto
comedir	comido
afincar	afinco
googlear	googleo
desportillar	desportillo
empatizar	empatizo
vacunar	vacuno
reanudar	reanudo
expedientar	expediento
arabizar	arabizo
cartografiar	cartografío
huronear	huroneo
contrarrestrar	contrarrestro
substanciar	substancio
argentar	argento
ahorrar	ahorro
remojar	remojo
desheredar	desheredo
pestañear	pestañeo
reseñar	reseño
acortar	acorto
exorcizar	exorcizo
adolecer	adolezco
elucidar	elucido
calar	calo
empicotar	empicoto
desaprovechar	desaprovecho
pasear	paseo
avellanar	avellano
recrudecer	recrudeco
concertar	concierto
imperar	impero
humectar	humecto
empapelar	empapelo
demodular	demodulo
desordenar	desordeno
botar	boto
injuriar	injurio
tetar	teto
aparatar	aparato
innovar	innovo
agredir	agredo
transar	transo
fumar	fumo
canalizar	canalizo
rolar	rolo
arremedar	arremedo
atormentar	atormento
zapear	zapeo
culpar	culpo
pecar	peco
estirar	estiro
recitar	recito
deshinchar	deshincho
homenajear	homenajeo
globalizar	globalizo
hegemonizar	hegemonizo
barbotar	barboto
besar	beso
recolar	recuelo
doblar	doblo
interceder	intercedo
desinvertir	desinvierto
blasonar	blasono
entrecortar	entrecorto
amortecer	amortezco
trizar	trizo
embravecer	embravezco
valsar	valso
penetrar	penetro
rectificar	rectifico
desfilar	desfilo
garabatear	garabateo
desmotivar	desmotivo
condenar	condeno
idiotizar	idiotizo
amarar	amaro
lindar	lindo
negociar	negocio
desgarrar	desgarro
noviar	novio
identificar	identifico
cremar	cremo
fingir	finjo
mitigar	mitigo
resintonizar	resintonizo
chinchorrear	chinchorreo
toller	tollo
apedazar	apedazo
clicar	clico
empastar	empasto
descamisar	descamiso
apilar	apilo
cucharear	cuchareo
desaparecer	desaparezco
revolucionar	revoluciono
soltar	suelto
bisbisar	bisbiso
murmurar	murmuro
malparar	malparo
enmaderar	enmadero
enamoriscar	enamorisco
consumir	consumo
esparcir	esparzo
existimar	existimo
piropear	piropeo
empapar	empapo
encofrar	encofro
grietar	grieto
nominar	nomino
desenfilar	desenfilo
enclavijar	enclavijo
airear	aireo
entrepernar	entrepierno
reencauzar	reencauzo
arramblar	arramblo
improbar	impruebo
abemolar	abemolo
desguinzar	desguinzo
aletear	aleteo
descerrajar	descerrajo
restaurar	restauro
retentar	retiento
recetar	receto
alcoholizar	alcoholizo
prospectar	prospecto
campear	campeo
predecir	predigo
alborear	alboreo
replantar	replanto
reinaugurar	reinauguro
herrumbrar	herrumbro
apear	apeo
enunciar	enuncio
estimar	estimo
asquear	asqueo
engullir	engullo
descargar	descargo
asear	aseo
pujar	pujo
teatralizar	teatralizo
envenenar	enveneno
malacostumbrar	malacostumbro
enlosar	enloso
atraillar	atraíllo
sincronizar	sincronizo
latir	lato
chocar	choco
calvar	calvo
arrepentir	arrepiento
desigualar	desigualo
atestiguar	atestiguo
acantilar	acantilo
politizar	politizo
acometer	acometo
desiluminar	desilumino
bruñir	bruño
higienizar	higienizo
platicar	platico
condecorar	condecoro
importar	importo
cohesionar	cohesiono
pesar	peso
fracturar	fracturo
adocenar	adoceno
aromatizar	aromatizo
engangrenar	engangreno
bendecir	bendigo
encomiar	encomio
esponsorizar	esponsorizo
agobiar	agobio
cabrear	cabreo
flamear	flameo
valorizar	valorizo
desbordar	desbordo
desmenuzar	desmenuzo
barruntar	barrunto
usar	uso
ariscar	arisco
bautizar	bautizo
grafitear	grafiteo
sangrar	sangro
traspapelar	traspapelo
mochar	mocho
abalear	abaleo
convidar	convido
generar	genero
gozar	gozo
recurrir	recurro
iluminar	ilumino
empastillar	empastillo
embarullar	embarullo
replegar	repliego
encalmar	encalmo
desilusionar	desilusiono
encarnar	encarno
embalar	embalo
balotar	baloto
adorar	adoro
empoderar	empodero
desatar	desato
amplificar	amplifico
obturar	obturo
concernir	concierno
lisonjear	lisonjeo
desembolsillar	desembolsillo
inocular	inoculo
fidelizar	fidelizo
flexionar	flexiono
visionar	visiono
abundar	abundo
plañir	plaño
desnacionalizar	desnacionalizo
bullir	bullo
impermeabilizar	impermeabilizo
ocupar	ocupo
terminar	termino
romantizar	romantizo
expropiar	expropio
sospechar	sospecho
afiligranar	afiligrano
desobjetivar	desobjetivo
tersar	terso
agitar	agito
cohonder	cohondo
lonchar	loncho
trastocar	trastoco
dignar	digno
deificar	deifico
sobreentender	sobreentiendo
desequilibrar	desequilibro
despeluchar	despelucho
naturalizar	naturalizo
jurar	juro
sorprender	sorprendo
realquilar	realquilo
agregar	agrego
taponear	taponeo
diagramar	diagramo
primar	primo
detestar	detesto
proveer	proveo
vindicar	vindico
tranquilizar	tranquilizo
zombificar	zombifico
especificar	especifico
ortografiar	ortografío
altercar	alterco
reposar	reposo
coletear	coleteo
descompasar	descompaso
astringir	astrinjo
muletear	muleteo
achaparrar	achaparro
envolver	envuelvo
bogar	bogo
contraprogramar	contraprogramo
bascular	basculo
socavar	socavo
engallar	engallo
trozar	trozo
desdentar	desdiento
renacer	renazco
desvanecer	desvanezco
inhumar	inhumo
amoldar	amoldo
candir	cando
altivar	altivo
rasgar	rasgo
desproporcionar	desproporciono
blasfemar	blasfemo
desuscribir	desuscribo
regurgitar	regurgito
aprobar	apruebo
fecundizar	fecundizo
concordar	concuerdo
sondear	sondeo
inmovilizar	inmovilizo
roturar	roturo
sexualizar	sexualizo
desarrebozar	desarrebozo
sobreañadir	sobreañado
berrear	berreo
fletar	fleto
desinhibir	desinhibo
conturbar	conturbo
desacatar	desacato
contornear	contorneo
cuadricular	cuadriculo
reexponer	reexpongo
fluctuar	fluctúo
acicalar	acicalo
matear	mateo
rutilar	rutilo
carrozar	carrozo
abajar	abajo
autonomizar	autonomizo
instaurar	instauro
sobrecalentar	sobrecaliento
orillar	orillo
homologar	homologo
cojear	cojeo
denigrar	denigro
capar	capo
salpimentar	salpimiento
tupir	tupo
sumir	sumo
prometer	prometo
dogmatizar	dogmatizo
lapidar	lapido
enfilar	enfilo
putañear	putañeo
desahijar	desahíjo
nivelar	nivelo
azolvar	azolvo
influenciar	influencio
absolver	absuelvo
teorizar	teorizo
desalinear	desalineo
descarrilar	descarrilo
deteriorar	deterioro
desacelerar	desacelero
franquiciar	franquicio
plantillar	plantillo
bocinar	bocino
acurrucar	acurruco
recomprar	recompro
engrillar	engrillo
acreditar	acredito
estudiar	estudio
alojar	alojo
coactuar	coactúo
reincorporar	reincorporo
elegir	elijo
nutrir	nutro
tullir	tullo
tarar	taro
anexionar	anexiono
divorciar	divorcio
muñir	muño
aparear	apareo
inflar	inflo
torpedear	torpedeo
explayar	explayo
trasegar	trasiego
dilatar	dilato
desempañar	desempaño
exaltar	exalto
reafirmar	reafirmo
enojar	enojo
parear	pareo
aclarar	aclaro
geolocalizar	geolocalizo
fiscalizar	fiscalizo
calcinar	calcino
trinar	trino
miniaturizar	miniaturizo
topetar	topeto
mancar	manco
atiplar	atiplo
acolchonar	acolchono
photoshopear	photoshopeo
estriar	estrío
flexibilizar	flexibilizo
acarear	acareo
rememorar	rememoro
citar	cito
fufar	fufo
acaballar	acaballo
funar	funo
complacer	complazco
apenar	apeno
doler	duelo
coreografiar	coreografío
fragmentar	fragmento
difamar	difamo
sacrificar	sacrifico
recontemplar	recontemplo
desincentivar	desincentivo
alentar	aliento
corear	coreo
ensalzar	ensalzo
customizar	customizo
desenojar	desenojo
desagradar	desagrado
abismar	abismo
escariar	escario
reservar	reservo
desesperanzar	desesperanzo
porfiar	porfío
derrotar	derroto
pelotear	peloteo
alfombrar	alfombro
espontanear	espontaneo
astillar	astillo
poetizar	poetizo
engrasar	engraso
inmigrar	inmigro
sufrir	sufro
lamentar	lamento
mapear	mapeo
nublar	nublo
sobrevivir	sobrevivo
adoptar	adopto
prepintar	prepinto
circunvalar	circunvalo
retapizar	retapizo
cronificar	cronifico
diferir	difiero
avejentar	avejento
atravesar	atravieso
chapuzar	chapuzo
calzar	calzo
redoblar	redoblo
estructurar	estructuro
handicapar	handicapo
cartear	carteo
cerner	cierno
incrustar	incrusto
blanquear	blanqueo
rehabilitar	rehabilito
materializar	materializo
catear	cateo
preconciliar	preconcilio
eyacular	eyaculo
crepitar	crepito
wasapear	wasapeo
vagabundear	vagabundeo
mopear	mopeo
zurriar	zurrío
amarrar	amarro
hilvanar	hilvano
rumiar	rumio
deprecar	depreco
reintroducir	reintroduzco
fotocopiar	fotocopio
menear	meneo
centellar	centello
honorar	honoro
repuntar	repunto
conjurar	conjuro
borrar	borro
enguatar	enguato
anublar	anublo
soportar	soporto
desposeer	desposeo
adquirir	adquiero
desagradecer	desagradezco
codificar	codifico
imprecar	impreco
atalayar	atalayo
pasterizar	pasterizo
despellejar	despellejo
adaguar	adaguo
depurar	depuro
garrapiñar	garrapiño
enguantar	enguanto
retrucar	retruco
osar	oso
fraguar	fraguo
reingresar	reingreso
apaniguar	apaniguo
limpiar	limpio
sonreir	sonrío
cerrar	cierro
escarificar	escarifico
recapacitar	recapacito
tipologizar	tipologizo
desmanar	desmano
traicionar	traiciono
ejecutar	ejecuto
percibir	percibo
chancear	chanceo
estragar	estrago
caramelizar	caramelizo
incursionar	incursiono
desasosegar	desasosiego
tintar	tinto
deglutir	degluto
zapatear	zapateo
dispensar	dispenso
regrabar	regrabo
desparramar	desparramo
perfeccionar	perfecciono
desnucar	desnuco
cizañar	cizaño
pugnar	pugno
atomizar	atomizo
honrar	honro
guardar	guardo
factorizar	factorizo
transmitir	transmito
charolar	charolo
condoler	conduelo
asombrar	asombro
repescar	repesco
maquinar	maquino
custodiar	custodio
sonar	sueno
avecindar	avecindo
lazar	lazo
sumar	sumo
propasar	propaso
aceitar	aceito
transustanciar	transustancio
insolentar	insolento
hipotizar	hipotizo
animar	animo
acalambrar	acalambro
cuantificar	cuantifico
hollar	huello
atrofiar	atrofio
esenciar	esencio
segar	siego
engatusar	engatuso
rebelar	rebelo
arreciar	arrecio
aherrumbrar	aherrumbro
vigorizar	vigorizo
viabilizar	viabilizo
enmudecer	enmudezco
acomplejar	acomplejo
pixelar	pixelo
deshojar	deshojo
autoimpulsar	autoimpulso
batallar	batallo
desenjaezar	desenjaezo
beatificar	beatifico
requerir	requiero
estratificar	estratifico
hidrogenar	hidrogeno
desatrancar	desatranco
lijar	lijo
enrejar	enrejo
versificar	versifico
reestabilizar	reestabilizo
pervivir	pervivo
autorrealizar	autorrealizo
delatar	delato
usurpar	usurpo
reinstaurar	reinstauro
peronizar	peronizo
catalizar	catalizo
entretejer	entretejo
esquiar	esquío
paralelar	paralelo
pormenorizar	pormenorizo
bifurcar	bifurco
reactivar	reactivo
heñir	hiño
chicolear	chicoleo
reventar	reviento
intricar	intrico
comprender	comprendo
entrevistar	entrevisto
introyectar	introyecto
bufar	bufo
particularizar	particularizo
referir	refiero
rebanar	rebano
rebobinar	rebobino
corcovear	corcoveo
detectar	detecto
embellecer	embellezco
peticionar	peticiono
remover	remuevo
